,Title,Description,PubDate,Categorie
51,"Violences sexuelles dans l'Église : de la maladresse à la rétention d’informations, les manquements de 18 évêques actuellement en poste après des signalements","A quelques jours de l'assemblée plénière des évêques de France, France Inter a enquêté sur les affaires de violences sexuelles de chaque diocèse et a retracé le parcours de chaque évêque pour comprendre la manière dont chacun prend en compte les alertes qui remontent, accueille les témoignages ou accompagne les victimes.","Fri, 28 Mar 2025 07:24:50 +0100",societe
52,"""Acculturer, sensibiliser, former…"" : un guide de bonnes pratiques pour améliorer l'inclusion des personnes trans et non binaires au travail",Ce troisième guide employeur est le premier de l'association L'Autre Cercle qui inclut la non-binarité.,"Fri, 28 Mar 2025 07:46:52 +0100",societe
53,"L'avocate d'une étudiante turque accuse la police américaine de l'immigration de l'avoir ""enlevée""","Rumeysa Ozturk a été arrêtée aux Etats-Unis par la police de l'immigration. ""Nous devrions tous être horrifiés de la manière dont [le ministère de la Sécurité intérieure] a enlevé Rumeysa [Ozturk] en plein jour"", a dénoncé son avocate.","Fri, 28 Mar 2025 08:12:48 +0100",societe
54,"Affaire Chahinez Daoud : “Il y a de bout en bout de la chaîne des dysfonctionnements et il faut s’atteler à les régler”, affirme la directrice générale de la fédération nationale Solidarités Femmes","Mine Günbay, directrice générale de la fédération nationale Solidarités Femmes, était l'invitée de la Matinale de France Info pour parler de la mort de Chahinez Daoud. Ce féminicide avait provoqué une vague d’émotion dans le pays.","Fri, 28 Mar 2025 08:59:56 +0100",societe
55,"L'avocate d'une étudiante turque accuse la police américaine de l'immigration de l'avoir ""enlevée""","Rumeysa Ozturk a été arrêtée aux Etats-Unis par la police de l'immigration. ""Nous devrions tous être horrifiés de la manière dont [le ministère de la Sécurité intérieure] a enlevé Rumeysa [Ozturk] en plein jour"", a dénoncé son avocate.","Fri, 28 Mar 2025 09:05:00 +0100",societe
56,Mort du petit Émile : les regards restent tournés vers la famille de l'enfant,"Les gardes à vue des grands-parents d'Émile, de son oncle et de sa tante ont été levées, jeudi 27 mars. La famille du petit garçon, discrète et dominée par le patriarche, doit toutefois vivre avec le poids du soupçon.","Fri, 28 Mar 2025 09:32:07 +0100",societe
57,Deux entraîneurs d’un club de boxe de Nantes visés par des signalements d’agressions sexuelles,"Certains adhérents et anciens adhérents du club estiment que les deux entraîneurs, reconnus dans le milieu de la boxe, ont pu bénéficier d’une forme d'omerta.","Fri, 28 Mar 2025 10:01:00 +0100",societe
58,"PODCAST. Le concert ""Solidarité Congo"" reporté, prépare ton sac de survie et changement d'heure : ça dit quoi ce 28 mars ?","Ce vendredi 28 mars, un concert caritatif qui devait rassembler des stars d'origine congolaise comme GIMS à Paris est reporté à cause du conflit avec le Rwanda, l'UE invite tous ses habitants à préparer un kit de survie et on passe à l'heure d'été ce week-end.","Fri, 28 Mar 2025 10:10:07 +0100",societe
59,"""Ce n'était pas moi, c'était mon corps"" : au procès du féminicide de Chahinez Daoud, Mounir Boutaa n'a cessé de se dédouaner","L'accusé de 48 ans a été interrogé jeudi sur l'assassinat de son épouse, brûlée vive le 4 mai 2021. Mounir Boutaa n'a montré aucun remords et s'est enfermé dans sa propre logique.","Fri, 28 Mar 2025 10:17:11 +0100",societe
60,Procès du féminicide de Chahinez Daoud : la réclusion criminelle à perpétuité requise contre l'accusé,"L'avocate générale a requis la perpétuité, assortie d'une période de sûreté de 22 ans, contre Mounir Boutaa, pour ""l'assassinat"" en mai 2021 de son épouse Chahinez Daoud, brûlée vive à Mérignac, près de Bordeaux.","Fri, 28 Mar 2025 11:05:19 +0100",societe
61,Procès du féminicide de Chahinez Daoud : la réclusion criminelle à perpétuité requise contre l'accusé,"L'avocate générale a requis la perpétuité, assortie d'une période de sûreté de 22 ans, contre Mounir Boutaa, pour l'assassinat en mai 2021 de son épouse Chahinez Daoud, brûlée vive à Mérignac, près de Bordeaux.","Fri, 28 Mar 2025 11:12:27 +0100",societe
62,Les PME demandent des garanties pour renforcer l'armement français,"Les entreprises sont prêtes à répondre aux attentes de l'État, qui souhaite renforcer l'armement français, mais à certaines conditions. Les PME attendent notamment des engagements fermes de la part du gouvernement.","Fri, 28 Mar 2025 11:31:24 +0100",societe
63,Espagne : la condamnation pour viol de l'ex-joueur du Barça et du PSG Dani Alves annulée en appel,"Condamné à quatre ans et demi de prison pour viol en 2024, mais libéré sous caution, Dani Alves a vu sa condamnation annulée par la Cour d'appel de Barcelone, vendredi.","Fri, 28 Mar 2025 12:02:48 +0100",societe
64,Espagne : la condamnation pour viol de l'ex-joueur du Barça et du PSG Dani Alves annulée en appel,"Condamné à quatre ans et demi de prison pour viol en 2024, mais libéré sous caution, Dani Alves a vu sa condamnation annulée par la Cour d'appel de Barcelone, vendredi.","Fri, 28 Mar 2025 12:09:45 +0100",societe
65,"VIDEO. Loi sur la justice des mineurs :  ""C'est très grave, on reste sans voix : le texte voté est dix fois pire que ce qu'on craignait"", alerte Adeline Hazan","Adeline Hazan, présidente de l'Unicef France et ancienne magistrate pour enfant estime dans le Talk de franceinfo que la proposition de loi de l’ancien Premier ministre Gabriel Attal visant à durcir la justice des mineurs, adoptée mercredi 26 mars par le Sénat, balaie tous les principes de la justice des mineurs.","Fri, 28 Mar 2025 14:57:42 +0100",societe
66,"EN REPLAY. Le Talk - Guerre en Ukraine : le ""sommet des alliés"" servira-t-il à quelque chose ? Faut-il vraiment durcir la justice pénale des mineurs ?","Au programme du Talk de franceinfo du jeudi 27 mars, la visite en France du président ukrainien, son entretien fleuve diffusé sur franceinfo et la tenue d'un sommet des alliés de l'Ukraine, puis la proposition de loi visant à restaurer l'autorité de la justice à l'égard des mineurs délinquants et de leurs parents.","Fri, 28 Mar 2025 15:01:00 +0100",societe
67,Fontenay-aux-Roses : un collège sous le choc après l'agression d'une professeure,"Les cours ont repris au collège des Ormeaux de Fontenay-aux-Roses, dans les Hauts-de-Seine, vendredi 28 mars. Quelques jours plus tôt, une professeure d'EPS a été agressée par trois adolescents.","Fri, 28 Mar 2025 15:23:07 +0100",societe
68,"A Fontenay-aux-Roses, un collège sous le choc après l'agression d'une professeure d'EPS","Les cours ont repris vendredi au collège des Ormeaux, dans les Hauts-de-Seine. Quelques jours plus tôt, une professeure d'EPS a été agressée par trois adolescents.","Fri, 28 Mar 2025 15:29:16 +0100",societe
69,TikTok : les Français sont-ils prêts à faire leurs achats par la plateforme dès lundi ?,"À partir de lundi 31 mars, TikTok va proposer aux internautes français de faire leurs achats directement sur la plateforme. Une nouveauté testée par les Anglais qui divise.","Fri, 28 Mar 2025 16:32:20 +0100",societe
70,CARTE. Scandale de maltraitance dans les Ehpad : découvrez les 44 établissements fermés ou sanctionnés à l'issue du plan de contrôle lancé par le gouvernement,"Trois jours après la diffusion du documentaire ""Les Fossoyeurs"", co-écrit par Victor Castanet, l'exécutif a diffusé, vendredi, une première liste issue des investigations menées depuis 2022 dans les 7 500 Ehpad de France.","Fri, 28 Mar 2025 16:58:56 +0100",societe
71,"À Fontenay-aux-Roses, un collège sous le choc après l'agression d'une professeure d'EPS","Les cours ont repris vendredi au collège des Ormeaux, dans les Hauts-de-Seine. Quelques jours plus tôt, une professeure d'EPS a été agressée par trois adolescents.","Fri, 28 Mar 2025 17:36:18 +0100",societe
72,"Ce que prévoit la réforme de la formation des enseignants, présentée vendredi par François Bayrou et Elisabeth Borne","Plusieurs fois annoncée puis laissée de côté, cette réforme sera ""engagée pour la rentrée 2025"", a annoncé le Premier ministre vendredi.","Fri, 28 Mar 2025 17:32:58 +0100",societe
73,CARTE. Scandale de maltraitance dans les Ehpad : découvrez les 44 établissements fermés ou sanctionnés à l'issue du plan de contrôle lancé par le gouvernement,"Trois jours après la diffusion du documentaire ""Les Fossoyeurs"", co-écrit par Victor Castanet, l'exécutif a diffusé, vendredi, une première liste issue des investigations menées depuis 2022 dans les 7 500 Ehpad de France.","Fri, 28 Mar 2025 18:09:23 +0100",societe
74,"""En tant que citoyenne, dois-je m'inquiéter ?"" : le vrai ou faux junior répond aux questions sur l'effort de guerre","Manuel de survie, service militaire, menace russe... franceinfo démêle vraies informations et fake news anxiogènes avec les élèves du collège Jean Perrin de Nanterre.","Fri, 28 Mar 2025 18:24:27 +0100",societe
75,"Contrôle des Ehpad : 55 ""sanctions graves"" ont été prononcées contre des établissements","Ces contrôles ont révélé ""des faits graves de maltraitance, de dysfonctionnements importants"" ou ""des problèmes de prise en charge des soins"", a annoncé la ministre déléguée Charlotte Parmentier-Lecocq.","Fri, 28 Mar 2025 18:21:27 +0100",societe
76,"ENQUETE FRANCEINFO. Maltraitance des personnes âgées : le bilan mitigé du grand plan de contrôle des Ehpad, trois ans après le scandale soulevé par ""Les Fossoyeurs""","Faute de moyens, les inspecteurs missionnés pour contrôler les 7 500 Ehpad de France après l'affaire Orpea n'ont pu se déplacer que dans un tiers des établissements. Ils n'ont contrôlé les autres que sur documents.","Fri, 28 Mar 2025 18:28:50 +0100",societe
77,"""Ce jour-là, j'ai cru mourir"" : le voisin qui a tenté de sauver Chahinez Daoud de l'immolation raconte son face-à-face avec Mounir Boutaa","Le soir du féminicide, Gérard Van Cauwenberge a tenté de s'interposer, mais l'accusé a allumé le feu au corps de sa femme avant de le braquer avec son pistolet, l'empêchant d'agir. Le septuagénaire s'est constitué partie civile au procès.","Fri, 28 Mar 2025 18:34:53 +0100",societe
78,"""En tant que citoyenne, dois-je m'inquiéter ?"" : le vrai ou faux junior répond aux questions sur l'effort de guerre","Manuel de survie, service militaire, menace russe... franceinfo démêle vraies informations et fake news anxiogènes avec les élèves du collège Jean Perrin de Nanterre.","Fri, 28 Mar 2025 18:24:27 +0100",societe
79,Procès du féminicide de Chahinez Daoud : Mounir Boutaa condamné à la réclusion criminelle à perpétuité pour avoir brûlé vive son épouse,"La cour d'assises de la Gironde a livré son verdict vendredi soir, au terme de cinq jours d'audience. La peine est assortie d'une période de sûreté de 22 ans, conformément aux réquisitions.","Fri, 28 Mar 2025 19:05:24 +0100",societe
80,INFO FRANCEINFO. Un homme mis en examen pour viols par soumission chimique sur cinq de ses ex-compagnes dans les Yvelines,"Pendant sa garde à vue, le suspect a minimisé les accusations portées par ses ex-compagnes, arguant que les relations sexuelles étaient forcément consenties puisqu'ils étaient en couple.","Fri, 28 Mar 2025 19:01:29 +0100",societe
81,"Ce que prévoit la réforme de la formation des enseignants, présentée vendredi par François Bayrou et Elisabeth Borne",Les concours de l'enseignement seront désormais organisés à bac+3 et les deux années de master seront consacrées à une formation rémunérée et pensée pour être plus professionnalisante.,"Fri, 28 Mar 2025 17:32:58 +0100",societe
